ผู้สมัคร,จังหวัด,เขต,socialmedia,รูปผู้สมัคร
ชุติพงศ์ พิภพภิญโญ,ระยอง,4,https://www.facebook.com/alieninsf,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/a9491689-8e6b-4c9a-bdfe-5a2ba94cce0c.jpg
ปาริชาติ ยาน้อย,น่าน,2,https://www.facebook.com/profile.php?id=61583270829700,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/2a8336bc-c0b1-4670-a771-7481d9e27e0b.jpg
อรพรรณ จันตาเรือง,เชียงใหม่,6,https://www.facebook.com/profile.php?id=100083361091363,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/6773e6a2-d637-4fe1-ba92-4683eb2aa3d5.jpg
ฐากูร ยะแสง,เชียงราย,3,https://www.facebook.com/TakulMFPCr2,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/f4d73d06-38d9-4971-9b62-a4d62406ba32.jpg
วรชิต จันทร์แบบ,ปทุมธานี,2,https://www.facebook.com/profile.php?id=61558789007645,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/2401a3db-35cf-4600-9541-f07892f92964.jpg
วีรภัทร คันธะ,สมุทรปราการ,6,https://www.facebook.com/dearweerapatofficial,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/081023f2-7352-4206-9638-0c033d4136a6.jpg
ศิรสิทธิ์ สงนุ้ย,สมุทรสาคร,2,https://www.facebook.com/sirasit.mfp,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/53b919b7-1fa9-4bb5-865e-d3a87467d7df.jpg
กิตติภณ ปานพรหมมาศ,นครปฐม,4,https://www.facebook.com/profile.php?id=100083886445093,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/9b947f53-4262-4a78-a62e-a2bad97ef003.jpg
ทรงพล ภัทราภิรมย์,ชัยนาท,1,https://www.facebook.com/SongpolPhattarapirom,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/0f65dd82-6d19-438e-8c60-977db62b54aa.jpg
นุศรา ศรีสังข์งาม,สุพรรณบุรี,2,https://www.facebook.com/profile.php?id=61576698265902,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/0cd341e8-aed1-489f-8991-5c8c72c43745.jpg
อรรถสิทธิ์ มหิทธิ,สระบุรี,3,https://www.facebook.com/profile.php?id=61585173574821,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/c00c12a6-8faa-475a-857b-179fc96ac4b7.jpg
สรพัช ศรีปราชญ์,สระบุรี,1,https://www.facebook.com/sorrapat.s,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/485f161c-089c-4bb1-b1ec-8bb705c94236.jpg
ทวิวงศ์ โตทวิวงศ์,พระนครศรีอยุธยา,1,https://www.facebook.com/TawiwongOfficial,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/815cb75e-b6c8-4244-be0b-bf5cf9e8774f.jpg
ชริน วงศ์พันธ์เที่ยง,พระนครศรีอยุธยา,2,https://www.facebook.com/profile.php?id=100089996004006,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/657291f3-3eb0-42a6-aa67-52c33bdda157.jpg
รัฐภัทร์ พัฒนาศิริรักษ์,สุราษฎร์ธานี,1,https://www.facebook.com/profile.php?id=61578588153046,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/d3c6d1ba-6970-45e2-9727-f562556df5d3.jpg
นวมินทร์ ปิ่นปฐมรัฐ,สงขลา,3,https://www.facebook.com/profile.php?id=61585136515758,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/2842dfca-2aee-470d-8910-eaafe5858eda.jpg
ธนวัช ภูเก้าล้วน,กระบี่,1,https://www.facebook.com/thn.wach.phu.kea.lwn,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/800b6c2f-b0b6-4ad5-b37d-b81e57096051.jpg
